id,name,region
2208604,1 Травня,
2201184,Карпилівка,
2200720,Клепали,
2200026,Степанівка,
2200027,Путейська,"Сумська область, Буринський район"
2200028,Грузьке,
2202262,Зафатівка,
2201168,Дубінка,
2201274,В'язове,
2200287,Дубов'язівка,
2201272,Джигаївка,
2200407,Лобківка,
2201183,Залізобетон.,
2200023,Кобижча,
2200006,Вишневе,
2210779,Вишнівецьке,
2200140,Боярка,
2200320,Тартак,
2200243,Браїлів,
2200387,Козачівка,
2200708,Демидівка,
2200469,Селищанський,
2201131,Яришівка,
2200472,Веселка,
2200241,Тюшки,
2200754,Порпуровський,
2200165,Десенка,
2200759,Сальницький,
2200196,Варшиця,
2200195,Гулівці,
2200194,Голендри,
2200317,Миколаївка,
2210799,Миколаївка-Донецька,
2200293,Кордишівка,
2200695,Білосілля,
2200154,Чорнорудка,
2200152,Брівки,
2200151,Попільня,
2200142,Кожанка,
2200141,Мотовилівка,
2200139,Васильків 1,
2209519,Васильків,
2210314,Васильківка,
2218447,Васильківці,
2201156,Івотка,
2200011,Янпіль,
2200286,Алтинівка,
2200231,Ярмолинці,
2200233,Балин,
2200225,Красилів,
2200230,Старокостянтинів 2,
2200218,Старокостянтинів 1,
2200181,Пасічний,
2200240,Хмільник,
2200223,Уладівка,
2200224,Холонівська,
2100275,Красний Берег,
2201203,Чорнявка,
2200774,Харліївка,
2200718,Залізничний,
2200332,Каолінова,
2200284,Глухівці,
2200172,Іванківці,
2201157,Мирославка,
2200173,Демчин,
2201141,Рачки,
2200739,Михайленки,
2200797,Вакуленчук,
2200175,Разіне,
2201191,Гордіївка,
2200722,Колодяжний,
2200177,Миропіль,
2201143,Понінка,
2201194,Поляни,
2204729,Лісові Поляни,
2201211,Новичі,
2200179,Хролин,
2200145,Судилкове,
2200183,Цвітоха,
2200292,Баранне,
2201238,Бадівка,
2200185,Могиляни,
2200187,Івачкове,
2200761,Семилітка,
2200064,Бориспіль,
2204581,Селещина,
2204584,Карлівка,
2204482,Красноград,
2204486,Кегичівка, 
2204488,Сахнівщина,
2200247,Бар,
2031510,Барабаново,
2044690,Барабинск,
2044944,Барабушка,
2100032,Баравуха,
2708095,Баранкульский,
2204914,Баранове,
2100241,Барановичі-Півн.,
2200249,Копай,
2200250,Котюжани,
2200252,Вендичани,
2200047,Липовий Ріг,
2200046,Вертіївка,
2200045,Вересоч,
2200044,ім. Бориса Олійника,
2200043,Муравійка,
2200042,Количівка,
2200066,Жукотки,
2200067,Малейки,
2201242,Славутич,
2204393,Білий Колодязь,
2204155,Зелений Колодязь,
2210775,Сім Колодязів,
2000226,Становий Колодязь,
2200138,Майдан-Вила,
2201126,Робоча,
2201144,Білоус,
2200725,Левковичі,
2200333,Селище Лісне,
2200068,Неданчичі,
2301554,Берешти,
2300578,Фалешти,
2300574,Бельць Ораш,
2300557,Дрокія,
2300551,Окниця,
22239,Сокиряни-Окниця,
2300547,Велчинець,
2300589,Стрешени,
2300586,Сипотень,
2300584,Корнешти,
2300583,Пирлиця,
2300145,Унгень,
2300620,Бельць-Слобозія,
2300555,Тирнове,
2300554,Дондюшани,
2300553,Редиул-Маре,
2300595,Бульбока,
2201155,Протасів Яр,
2200017,Мельня,
2200701,Ватутіне,
2200799,Ганнусине,
2201267,Блидні,
2201229,Довбище,
2201232,Райки,
2200400,Житомир,
2208129,Житомирська,
2200090,Овруч,
2100259,Словечно,
21225,Словечно Кордон,
2100254,Козенки,
2100090,Калинковичі,
2100814,Калинковичі Зах.,
2100805,Калинковичі Півд,
2100813,Калинковичі-Схід,
2100217,Світлогорск-На-Березин,
2100255,Городок,
2205957,Городок,
2038460,Городок Пмс,
2218340,Городок-Льв.,
2004547,Белый Городок,
2054003,Военный Городок,
2054879,Зеленый Городок,
2041692,Красний Городок,
2000730,Лісний Городок,
2004560,Сущево,
2004524,Чихачево,
2004527,Дєдовичі,
2100015,Богушевська,
2300582,Петрешти,
2200115,Кодня,
2200112,Горбаші,
2200743,Нова Борова,
5700000,Баку-Пасс,
5700701,Шабран, 
5700760,Хачмас,
5700770,Ялама,
20571,Самур-Ялама Гр,
2064216,Ізбербаш,
2064213,Манас,
2064900,Махачкала,
2064063,Кизилюрт,
2064175,Кизляр,
2064114,Кочубей,
2064116,Артезиан,
2064117,Улан-Холл,
2020600,Астрахань,
2020060,Астрахань-2,
2020925,Аксарайская,
2020071,Аксарайская 2,
20272,Аксарайская 2-Дины Нур,
2020917,Верхній Баскунча,
2020884,Володимирівка,
2208358,Володимирівка,
2020832,Волжский,
2020380,Порт Волжский,
2020833,Волгоград 2,
2020500,Волгоград-1,
2014103,Грязи-Волгоградские,
2020830,Арчеда,
2020820,Себряково,
2020950,Филонове,
2020941,Олексиково,
2014490,Поворино,
2014532,Новохоперськ,
2014480,Талова,
2014120,Лиски,
2100287,Лиски,
2014360,Валуйки,
2014214,Валуйки-Сортувальні,
2204416,ім. Олега Крючкова,
2204417,Преддонбасівська,
2204418,Радьківськ. Піски,
